,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,航運類指數,66.96,20191231,<p style ='color:red'>+</p>,0.30,0.20
1,航運類指數,66.76,20191230,<p style ='color:red'>+</p>,0.21,0.14
2,航運類指數,66.62,20191227,<p style ='color:green'>-</p>,-0.05,0.03
3,航運類指數,66.65,20191226,<p style ='color:green'>-</p>,-0.36,0.24
4,航運類指數,66.89,20191225,<p style ='color:green'>-</p>,-0.04,0.03
5,航運類指數,66.92,20191224,<p style ='color:green'>-</p>,-0.52,0.35
6,航運類指數,67.27,20191223,<p style ='color:red'>+</p>,1.42,0.94
7,航運類指數,66.33,20191220,<p style ='color:red'>+</p>,0.73,0.48
8,航運類指數,65.85,20191219,<p style ='color:green'>-</p>,-0.33,0.22
9,航運類指數,66.07,20191218,<p style ='color:red'>+</p>,0.55,0.36
10,航運類指數,65.71,20191217,<p style ='color:red'>+</p>,0.40,0.26
11,航運類指數,65.45,20191216,<p style ='color:red'>+</p>,0.26,0.17
12,航運類指數,65.28,20191213,<p style ='color:green'>-</p>,-0.18,0.12
13,航運類指數,65.4,20191212,<p style ='color:red'>+</p>,0.20,0.13
14,航運類指數,65.27,20191211,<p style ='color:green'>-</p>,-0.17,0.11
15,航運類指數,65.38,20191210,,--,--
16,航運類指數,65.38,20191209,<p style ='color:green'>-</p>,-0.17,0.11
17,航運類指數,65.49,20191206,<p style ='color:green'>-</p>,-0.12,0.08
18,航運類指數,65.57,20191205,<p style ='color:green'>-</p>,-0.12,0.08
19,航運類指數,65.65,20191204,<p style ='color:green'>-</p>,-0.30,0.20
20,航運類指數,65.85,20191203,<p style ='color:red'>+</p>,0.38,0.25
21,航運類指數,65.6,20191202,<p style ='color:green'>-</p>,-0.02,0.01
22,航運類指數,65.61,20191129,<p style ='color:green'>-</p>,-0.52,0.34
23,航運類指數,65.95,20191128,<p style ='color:red'>+</p>,0.12,0.08
24,航運類指數,65.87,20191127,<p style ='color:red'>+</p>,0.63,0.41
25,航運類指數,65.46,20191126,<p style ='color:green'>-</p>,-0.05,0.03
26,航運類指數,65.49,20191125,<p style ='color:red'>+</p>,0.23,0.15
27,航運類指數,65.34,20191122,<p style ='color:green'>-</p>,-0.18,0.12
28,航運類指數,65.46,20191121,<p style ='color:green'>-</p>,-0.40,0.26
29,航運類指數,65.72,20191120,<p style ='color:red'>+</p>,0.64,0.42
30,航運類指數,65.3,20191119,<p style ='color:green'>-</p>,-0.15,0.10
31,航運類指數,65.4,20191118,<p style ='color:red'>+</p>,0.12,0.08
32,航運類指數,65.32,20191115,<p style ='color:red'>+</p>,0.31,0.20
33,航運類指數,65.12,20191114,<p style ='color:green'>-</p>,-0.38,0.25
34,航運類指數,65.37,20191113,<p style ='color:green'>-</p>,-0.85,0.56
35,航運類指數,65.93,20191112,<p style ='color:red'>+</p>,0.20,0.13
36,航運類指數,65.8,20191111,<p style ='color:green'>-</p>,-0.66,0.44
37,航運類指數,66.24,20191108,<p style ='color:red'>+</p>,0.06,0.04
38,航運類指數,66.2,20191107,<p style ='color:green'>-</p>,-0.27,0.18
39,航運類指數,66.38,20191106,<p style ='color:green'>-</p>,-0.09,0.06
40,航運類指數,66.44,20191105,<p style ='color:red'>+</p>,0.18,0.12
41,航運類指數,66.32,20191104,<p style ='color:red'>+</p>,0.84,0.55
42,航運類指數,65.77,20191101,<p style ='color:green'>-</p>,-0.06,0.04
43,航運類指數,65.81,20191031,<p style ='color:green'>-</p>,-0.51,0.34
44,航運類指數,66.15,20191030,<p style ='color:red'>+</p>,0.23,0.15
45,航運類指數,66.0,20191029,<p style ='color:green'>-</p>,-0.53,0.35
46,航運類指數,66.35,20191028,<p style ='color:green'>-</p>,-0.02,0.01
47,航運類指數,66.36,20191025,<p style ='color:red'>+</p>,0.06,0.04
48,航運類指數,66.32,20191024,<p style ='color:red'>+</p>,0.52,0.34
49,航運類指數,65.98,20191023,<p style ='color:green'>-</p>,-0.90,0.60
50,航運類指數,66.58,20191022,<p style ='color:red'>+</p>,0.35,0.23
51,航運類指數,66.35,20191021,<p style ='color:red'>+</p>,0.99,0.65
52,航運類指數,65.7,20191018,<p style ='color:green'>-</p>,-0.20,0.13
53,航運類指數,65.83,20191017,<p style ='color:green'>-</p>,-0.03,0.02
54,航運類指數,65.85,20191016,<p style ='color:red'>+</p>,0.47,0.31
55,航運類指數,65.54,20191015,<p style ='color:green'>-</p>,-0.15,0.10
56,航運類指數,65.64,20191014,<p style ='color:red'>+</p>,1.28,0.83
57,航運類指數,64.81,20191009,<p style ='color:green'>-</p>,-0.11,0.07
58,航運類指數,64.88,20191008,<p style ='color:green'>-</p>,-0.64,0.42
59,航運類指數,65.3,20191007,<p style ='color:red'>+</p>,0.43,0.28
60,航運類指數,65.02,20191004,<p style ='color:red'>+</p>,0.60,0.39
61,航運類指數,64.63,20191003,<p style ='color:green'>-</p>,-0.83,0.54
62,航運類指數,65.17,20191002,<p style ='color:green'>-</p>,-0.37,0.24
63,航運類指數,65.41,20191001,<p style ='color:red'>+</p>,0.15,0.10
64,航運類指數,65.31,20190927,<p style ='color:green'>-</p>,-0.70,0.46
65,航運類指數,65.77,20190926,<p style ='color:green'>-</p>,-0.53,0.35
66,航運類指數,66.12,20190925,,--,--
67,航運類指數,66.12,20190924,<p style ='color:green'>-</p>,-0.26,0.17
68,航運類指數,66.29,20190923,<p style ='color:green'>-</p>,-0.23,0.15
69,航運類指數,66.44,20190920,<p style ='color:green'>-</p>,-0.27,0.18
70,航運類指數,66.62,20190919,<p style ='color:green'>-</p>,-0.27,0.18
71,航運類指數,66.8,20190918,<p style ='color:red'>+</p>,0.09,0.06
72,航運類指數,66.74,20190917,<p style ='color:red'>+</p>,0.15,0.1
73,航運類指數,66.64,20190916,<p style ='color:green'>-</p>,-0.54,0.36
74,航運類指數,67.0,20190912,<p style ='color:red'>+</p>,0.68,0.45
75,航運類指數,66.55,20190911,<p style ='color:green'>-</p>,-0.37,0.25
76,航運類指數,66.8,20190910,<p style ='color:green'>-</p>,-1.12,0.76
77,航運類指數,67.56,20190909,<p style ='color:green'>-</p>,-0.19,0.13
78,航運類指數,67.69,20190906,<p style ='color:green'>-</p>,-0.13,0.09
79,航運類指數,67.78,20190905,<p style ='color:green'>-</p>,-0.01,0.01
80,航運類指數,67.79,20190904,<p style ='color:red'>+</p>,0.27,0.18
81,航運類指數,67.61,20190903,<p style ='color:red'>+</p>,0.3,0.2
82,航運類指數,67.41,20190902,<p style ='color:red'>+</p>,0.84,0.56
83,航運類指數,66.85,20190830,<p style ='color:red'>+</p>,0.29,0.19
84,航運類指數,66.66,20190829,<p style ='color:red'>+</p>,0.74,0.49
85,航運類指數,66.17,20190828,<p style ='color:red'>+</p>,0.76,0.5
86,航運類指數,65.67,20190827,<p style ='color:red'>+</p>,0.27,0.18
87,航運類指數,65.49,20190826,<p style ='color:green'>-</p>,-1.28,0.85
88,航運類指數,66.34,20190823,<p style ='color:red'>+</p>,0.41,0.27
89,航運類指數,66.07,20190822,<p style ='color:green'>-</p>,-0.69,0.46
90,航運類指數,66.53,20190821,<p style ='color:red'>+</p>,0.05,0.03
91,航運類指數,66.5,20190820,<p style ='color:green'>-</p>,-0.34,0.23
92,航運類指數,66.73,20190819,<p style ='color:green'>-</p>,-0.25,0.17
