,指數,收盤指數,日期,漲跌(+/-),漲跌百分比(%),漲跌點數
0,小型股300指數,"6,635.97",20191122,<p style ='color:red'>+</p>,0.11,7.55
1,小型股300指數,"6,628.42",20191121,<p style ='color:green'>-</p>,-0.02,1.55
2,小型股300指數,"6,629.97",20191120,<p style ='color:green'>-</p>,-0.23,14.99
3,小型股300指數,"6,644.96",20191119,<p style ='color:green'>-</p>,-0.15,9.72
4,小型股300指數,"6,654.68",20191118,<p style ='color:red'>+</p>,0.37,24.86
5,小型股300指數,"6,629.82",20191115,<p style ='color:red'>+</p>,0.41,26.94
6,小型股300指數,"6,602.88",20191114,<p style ='color:green'>-</p>,-0.29,19.33
7,小型股300指數,"6,622.21",20191113,<p style ='color:red'>+</p>,0.12,7.75
8,小型股300指數,"6,614.46",20191112,<p style ='color:red'>+</p>,0.83,54.63
9,小型股300指數,"6,559.83",20191111,<p style ='color:green'>-</p>,-1.75,116.72
10,小型股300指數,"6,676.55",20191108,<p style ='color:red'>+</p>,0.19,12.49
11,小型股300指數,"6,664.06",20191107,<p style ='color:green'>-</p>,-0.41,27.44
12,小型股300指數,"6,691.50",20191106,<p style ='color:green'>-</p>,-0.33,22.42
13,小型股300指數,"6,713.92",20191105,<p style ='color:red'>+</p>,0.32,21.65
14,小型股300指數,"6,692.27",20191104,<p style ='color:red'>+</p>,0.56,37.23
15,小型股300指數,"6,655.04",20191101,<p style ='color:red'>+</p>,0.24,16.13
16,小型股300指數,"6,638.91",20191031,<p style ='color:green'>-</p>,-0.57,38.0
17,小型股300指數,"6,676.91",20191030,<p style ='color:red'>+</p>,0.60,39.54
18,小型股300指數,"6,637.37",20191029,<p style ='color:green'>-</p>,-0.60,39.79
19,小型股300指數,"6,677.16",20191028,<p style ='color:red'>+</p>,0.11,7.47
20,小型股300指數,"6,669.69",20191025,<p style ='color:green'>-</p>,-0.39,25.94
21,小型股300指數,"6,695.63",20191024,<p style ='color:red'>+</p>,0.97,64.1
22,小型股300指數,"6,631.53",20191023,<p style ='color:green'>-</p>,-0.15,10.07
23,小型股300指數,"6,641.60",20191022,<p style ='color:red'>+</p>,0.27,17.87
24,小型股300指數,"6,623.73",20191021,<p style ='color:red'>+</p>,0.60,39.54
25,小型股300指數,"6,584.19",20191018,<p style ='color:red'>+</p>,0.11,7.28
26,小型股300指數,"6,576.91",20191017,<p style ='color:red'>+</p>,0.59,38.88
27,小型股300指數,"6,538.03",20191016,<p style ='color:red'>+</p>,0.25,16.46
28,小型股300指數,"6,521.57",20191015,<p style ='color:red'>+</p>,0.39,25.34
29,小型股300指數,"6,496.23",20191014,<p style ='color:red'>+</p>,1.04,66.97
30,小型股300指數,"6,429.26",20191009,<p style ='color:green'>-</p>,-0.48,31.33
31,小型股300指數,"6,460.59",20191008,<p style ='color:green'>-</p>,-0.30,19.28
32,小型股300指數,"6,479.87",20191007,<p style ='color:red'>+</p>,0.24,15.49
33,小型股300指數,"6,464.38",20191004,<p style ='color:green'>-</p>,-0.04,2.4
34,小型股300指數,"6,466.78",20191003,<p style ='color:green'>-</p>,-0.04,2.29
35,小型股300指數,"6,469.07",20191002,<p style ='color:red'>+</p>,0.38,24.78
36,小型股300指數,"6,444.29",20191001,<p style ='color:red'>+</p>,0.51,32.65
37,小型股300指數,"6,411.64",20190927,<p style ='color:green'>-</p>,-1.26,81.61
38,小型股300指數,"6,493.25",20190926,<p style ='color:green'>-</p>,-0.40,25.8
39,小型股300指數,"6,519.05",20190925,<p style ='color:green'>-</p>,-0.40,26.05
40,小型股300指數,"6,545.10",20190924,<p style ='color:green'>-</p>,-0.43,28.13
41,小型股300指數,"6,573.23",20190923,<p style ='color:red'>+</p>,0.37,24.4
42,小型股300指數,"6,548.83",20190920,<p style ='color:red'>+</p>,0.42,27.52
43,小型股300指數,"6,521.31",20190919,<p style ='color:red'>+</p>,0.08,4.89
44,小型股300指數,"6,516.42",20190918,<p style ='color:red'>+</p>,0.47,30.77
45,小型股300指數,"6,485.65",20190917,<p style ='color:green'>-</p>,-0.11,7.1
46,小型股300指數,"6,492.75",20190916,<p style ='color:green'>-</p>,-0.06,4.2
47,小型股300指數,"6,496.95",20190912,<p style ='color:red'>+</p>,0.55,35.57
48,小型股300指數,"6,461.38",20190911,<p style ='color:red'>+</p>,0.09,5.94
49,小型股300指數,"6,455.44",20190910,<p style ='color:green'>-</p>,-0.23,15.12
50,小型股300指數,"6,470.56",20190909,<p style ='color:green'>-</p>,-0.47,30.67
51,小型股300指數,"6,501.23",20190906,<p style ='color:green'>-</p>,-0.07,4.73
52,小型股300指數,"6,505.96",20190905,<p style ='color:red'>+</p>,0.14,9.12
53,小型股300指數,"6,496.84",20190904,<p style ='color:red'>+</p>,0.76,48.9
54,小型股300指數,"6,447.94",20190903,<p style ='color:green'>-</p>,-0.27,17.28
55,小型股300指數,"6,465.22",20190902,<p style ='color:red'>+</p>,0.97,61.88
56,小型股300指數,"6,403.34",20190830,<p style ='color:red'>+</p>,0.44,28.15
57,小型股300指數,"6,375.19",20190829,<p style ='color:red'>+</p>,0.28,18.0
58,小型股300指數,"6,357.19",20190828,<p style ='color:red'>+</p>,0.14,9.01
59,小型股300指數,"6,348.18",20190827,<p style ='color:red'>+</p>,0.30,18.8
60,小型股300指數,"6,329.38",20190826,<p style ='color:green'>-</p>,-1.65,106.44
61,小型股300指數,"6,435.82",20190823,<p style ='color:green'>-</p>,--,0.06
62,小型股300指數,"6,435.88",20190822,<p style ='color:red'>+</p>,0.11,7.04
63,小型股300指數,"6,428.84",20190821,<p style ='color:red'>+</p>,0.5,32.15
64,小型股300指數,"6,396.69",20190820,<p style ='color:red'>+</p>,0.1,6.13
65,小型股300指數,"6,390.56",20190819,<p style ='color:red'>+</p>,0.68,43.25
66,小型股300指數,"6,347.31",20190816,<p style ='color:red'>+</p>,0.88,55.48
67,小型股300指數,"6,291.83",20190815,<p style ='color:green'>-</p>,-0.81,51.45
