,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191112,9.20,9.18,33,9.18,"103,318"
1,20191111,9.2,8.81,49,9.19,"96,957"
2,20191108,9.21,9.11,27,9.21,"75,909"
3,20191107,9.2,9.18,33,9.19,"81,591"
4,20191106,9.2,9.19,27,9.19,"47,130"
5,20191105,9.2,9.18,39,9.2,"201,999"
6,20191104,9.19,9.1,31,9.19,"74,842"
7,20191101,9.19,9.1,15,9.19,"18,278"
8,20191031,9.23,9.16,19,9.2,"50,343"
9,20191030,9.28,9.23,15,9.24,"20,070"
10,20191029,9.26,9.23,9,9.25,"9,196"
11,20191028,9.29,9.25,21,9.26,"61,000"
12,20191025,9.34,9.25,34,9.25,"94,000"
13,20191024,9.28,9.2,44,9.25,"726,236"
14,20191023,9.23,9.2,41,9.23,"407,379"
15,20191022,9.24,9.19,41,9.22,"566,301"
16,20191021,9.23,9.2,39,9.22,"483,550"
17,20191018,9.24,9.2,25,9.22,"346,760"
18,20191017,9.23,9.19,25,9.23,"420,400"
19,20191016,9.25,9.02,80,9.25,"714,236"
20,20191015,9.22,9.2,32,9.2,"514,993"
21,20191014,9.22,9.19,44,9.2,"462,071"
22,20191009,9.23,9.1,46,9.19,"507,200"
23,20191008,9.26,9.2,38,9.21,"296,500"
24,20191007,9.23,9.08,28,9.23,"237,348"
25,20191004,9.2,9.14,46,9.2,"159,600"
26,20191003,9.25,9.19,12,9.19,"51,800"
27,20191002,9.26,9.1,11,9.2,"96,200"
28,20190927,9.35,9.22,85,9.25,"570,002"
29,20190926,9.26,9.15,72,9.21,"1,293,185"
30,20190925,9.2,9.15,18,9.19,"460,200"
31,20190924,9.22,9.18,32,9.19,"750,580"
32,20190923,9.2,9.03,33,9.15,"428,393"
33,20190920,9.22,9.2,34,9.21,"690,500"
34,20190919,9.24,9.19,19,9.21,"29,504"
35,20190918,9.23,9.18,86,9.2,"445,787"
36,20190917,9.2,9.17,28,9.2,"298,624"
37,20190916,9.24,9.2,35,9.22,"156,500"
38,20190912,9.25,9.2,24,9.21,"412,500"
39,20190911,9.21,9.18,40,9.2,"608,800"
40,20190910,9.22,9.19,33,9.2,"572,200"
41,20190909,9.25,9.18,44,9.2,"580,397"
42,20190906,9.2,9.19,33,9.2,"437,541"
43,20190905,9.2,9.16,39,9.2,"515,604"
44,20190904,9.2,9.17,35,9.18,"446,668"
45,20190903,9.2,9.15,42,9.18,"590,500"
46,20190902,9.18,9.05,41,9.12,"562,485"
47,20190830,9.23,9.14,54,9.17,"953,014"
48,20190829,9.19,9.18,15,9.18,"215,878"
49,20190828,9.22,9.17,30,9.2,"424,806"
50,20190827,9.18,9.05,35,9.17,"375,200"
51,20190826,9.2,9.05,32,9.17,"397,984"
52,20190823,9.2,9.15,34,9.2,"453,361"
53,20190822,9.2,9.16,20,9.17,"298,800"
54,20190821,9.2,9.15,49,9.16,"203,984"
55,20190820,9.2,9.08,34,9.2,"264,600"
56,20190819,9.2,9.01,32,9.15,"160,033"
57,20190816,9.08,9.06,20,9.07,"177,868"
58,20190815,9.1,8.92,25,9.08,"89,001"
59,20190814,9.1,9.02,25,9.08,"123,948"
60,20190813,9.09,9.01,19,9.05,"53,000"
61,20190812,9.18,8.85,36,9.05,"92,973"
62,20190808,9.23,9.19,29,9.23,"98,969"
63,20190807,9.25,9.17,42,9.18,"136,402"
64,20190806,9.2,9.0,48,9.17,"173,600"
65,20190805,9.2,9.0,63,9.16,"190,804"
