,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191111,117.50,114.50,518,115.00,"724,421"
1,20191108,118.5,117.0,370,117.5,"425,129"
2,20191107,118.5,117.0,541,117.5,"698,445"
3,20191106,120.0,118.0,"1,186",118.5,"1,663,261"
4,20191105,122.5,120.0,429,122.0,"1,044,448"
5,20191104,121.5,120.5,572,121.0,"870,798"
6,20191101,123.0,119.5,"1,008",120.0,"1,462,378"
7,20191031,124.5,122.0,584,123.0,"676,935"
8,20191030,124.5,122.0,521,124.5,"661,443"
9,20191029,126.0,121.5,"1,222",122.0,"2,161,078"
10,20191028,127.0,124.0,759,124.5,"1,052,620"
11,20191025,126.0,124.5,310,125.5,"391,672"
12,20191024,126.0,123.0,"1,103",126.0,"1,483,619"
13,20191023,123.5,122.5,849,123.0,"1,007,942"
14,20191022,127.5,124.0,562,124.0,"699,038"
15,20191021,127.5,124.5,577,126.5,"803,797"
16,20191018,128.5,126.5,"1,462",127.0,"2,388,735"
17,20191017,126.0,121.0,"2,032",126.0,"3,064,994"
18,20191016,121.5,119.0,"1,363",121.0,"1,789,697"
19,20191015,122.5,119.0,"1,000",120.5,"1,353,482"
20,20191014,121.5,118.0,660,118.5,"785,998"
21,20191009,122.0,118.5,554,118.5,"792,050"
22,20191008,123.0,120.0,522,121.0,"641,728"
23,20191007,124.0,122.5,475,122.5,"592,045"
24,20191004,126.0,122.0,"1,208",122.0,"1,569,943"
25,20191003,126.0,122.0,"2,133",125.0,"2,789,224"
26,20191002,122.5,119.5,"1,471",120.5,"2,062,965"
27,20190927,125.0,120.0,780,120.5,"907,736"
28,20190926,125.0,122.5,"1,052",124.5,"1,266,894"
29,20190925,126.5,120.0,"1,669",120.5,"2,190,370"
30,20190924,130.0,127.0,573,127.0,"688,405"
31,20190923,130.0,128.5,251,130.0,"243,125"
32,20190920,130.5,128.0,423,128.0,"658,276"
33,20190919,131.0,127.5,454,129.0,"1,003,085"
34,20190918,130.0,126.5,"1,103",127.5,"1,456,519"
35,20190917,129.5,128.5,217,128.5,"289,640"
36,20190916,131.0,129.0,299,129.5,"465,431"
37,20190912,132.0,130.0,386,131.0,"448,269"
38,20190911,131.5,129.0,373,130.0,"434,219"
39,20190910,131.0,128.5,535,129.0,"654,247"
40,20190909,130.0,127.0,790,128.5,"976,141"
41,20190906,134.5,130.0,668,130.0,"840,503"
42,20190905,135.0,133.0,534,133.0,"662,674"
43,20190904,138.0,133.5,738,134.0,"849,667"
44,20190903,138.0,135.0,408,136.5,"461,109"
45,20190902,138.5,136.5,308,138.0,"818,719"
46,20190830,138.0,135.0,799,137.5,"968,873"
47,20190829,135.5,133.0,405,134.5,"644,731"
48,20190828,136.0,134.0,326,134.5,"454,624"
49,20190827,135.5,134.0,360,134.5,"445,767"
50,20190826,134.0,132.5,582,133.0,"696,531"
51,20190823,137.5,135.5,262,136.5,"326,191"
52,20190822,137.0,135.0,367,137.0,"453,500"
53,20190821,135.0,133.5,372,135.0,"482,334"
54,20190820,137.0,134.5,453,135.0,"741,618"
55,20190819,137.0,134.0,705,136.0,"1,048,352"
56,20190816,134.5,132.0,413,134.0,"499,028"
57,20190815,134.0,131.0,607,132.0,"868,542"
58,20190814,136.5,133.5,"1,235",134.5,"1,648,020"
59,20190813,135.0,132.0,855,133.0,"1,037,369"
60,20190812,134.0,131.5,855,133.0,"1,136,396"
61,20190808,133.5,131.0,"1,089",133.0,"1,460,592"
62,20190807,134.0,130.0,"1,544",131.0,"2,090,492"
63,20190806,129.5,124.0,"1,176",129.5,"1,466,768"
64,20190805,132.5,128.0,"1,328",129.5,"1,782,817"
