,成交筆數,成交股數,成交金額,收盤價,日期,最低價,最高價,本益比,漲跌價差,證券代號,證券名稱,開盤價
0,16,"45,097","2,879,868",64.00,20191122,63.80,64.00,0.00,0.00,2881B,富邦金乙特,63.80
1,24,"64,480","4,114,604",64.0,20191121,63.7,64.0,0.0,0.0,2881B,富邦金乙特,63.8
2,20,"24,644","1,574,285",64.0,20191120,63.8,64.0,0.0,0.1,2881B,富邦金乙特,63.9
3,27,"54,561","3,477,088",63.9,20191119,63.6,63.9,0.0,0.1,2881B,富邦金乙特,63.8
4,42,"75,204","4,801,309",63.8,20191118,63.7,64.0,0.0,0.3,2881B,富邦金乙特,64.0
5,16,"30,133","1,928,569",64.1,20191115,64.0,64.1,0.0,0.0,2881B,富邦金乙特,64.0
6,23,"37,110","2,375,216",64.1,20191114,63.9,64.1,0.0,0.0,2881B,富邦金乙特,63.9
7,21,"129,046","8,251,934",64.1,20191113,63.9,64.1,0.0,0.1,2881B,富邦金乙特,64.0
8,17,"23,070","1,479,671",64.2,20191112,64.0,64.2,0.0,0.0,2881B,富邦金乙特,64.0
9,10,"4,676","299,395",64.2,20191111,64.0,64.2,0.0,0.0,2881B,富邦金乙特,64.0
10,29,"24,658","1,580,175",64.2,20191108,64.0,64.2,0.0,0.0,2881B,富邦金乙特,64.0
11,14,"22,052","1,412,021",64.2,20191107,63.9,64.2,0.0,0.0,2881B,富邦金乙特,63.9
12,19,"8,856","567,184",64.2,20191106,64.0,64.2,0.0,0.0,2881B,富邦金乙特,64.0
13,29,"95,998","6,137,465",64.2,20191105,63.9,64.2,0.0,0.2,2881B,富邦金乙特,63.9
14,76,"176,985","11,373,040",64.0,20191104,63.9,64.5,0.0,0.1,2881B,富邦金乙特,64.5
15,17,"60,867","3,897,398",64.1,20191101,64.0,64.1,0.0,0.1,2881B,富邦金乙特,64.1
16,58,"111,085","7,116,051",64.2,20191031,63.9,64.2,0.0,0.2,2881B,富邦金乙特,64.0
17,22,"74,805","4,785,057",64.0,20191030,63.9,64.0,0.0,0.0,2881B,富邦金乙特,63.9
18,27,"49,675","3,174,194",64.0,20191029,63.9,64.0,0.0,0.0,2881B,富邦金乙特,63.9
19,24,"73,340","4,693,824",64.0,20191028,63.9,64.2,0.0,0.2,2881B,富邦金乙特,64.2
20,16,"153,102","9,809,217",64.2,20191025,64.0,64.2,0.0,0.0,2881B,富邦金乙特,64.0
21,34,"60,337","3,862,696",64.2,20191024,63.9,64.2,0.0,0.0,2881B,富邦金乙特,64.2
22,19,"64,000","4,102,700",64.2,20191023,64.1,64.2,0.0,0.1,2881B,富邦金乙特,64.1
23,17,"76,244","4,885,965",64.1,20191022,64.0,64.1,0.0,0.0,2881B,富邦金乙特,64.0
24,23,"134,086","8,594,884",64.1,20191021,64.1,64.1,0.0,0.0,2881B,富邦金乙特,64.1
25,35,"72,507","4,640,989",64.1,20191018,64.0,64.1,0.0,0.1,2881B,富邦金乙特,64.0
26,26,"235,678","15,106,056",64.0,20191017,64.0,64.2,0.0,0.1,2881B,富邦金乙特,64.1
27,30,"42,156","2,695,866",64.1,20191016,63.9,64.1,0.0,0.1,2881B,富邦金乙特,63.9
28,21,"74,447","4,760,170",64.0,20191015,63.9,64.0,0.0,0.0,2881B,富邦金乙特,64.0
29,29,"86,435","5,532,040",64.0,20191014,64.0,64.1,0.0,0.0,2881B,富邦金乙特,64.0
30,21,"89,954","5,756,756",64.0,20191009,63.9,64.0,0.0,0.0,2881B,富邦金乙特,64.0
31,17,"19,908","1,274,112",64.0,20191008,63.8,64.1,0.0,0.0,2881B,富邦金乙特,63.8
32,48,"137,533","8,794,050",64.0,20191007,63.7,64.1,0.0,0.0,2881B,富邦金乙特,63.9
33,51,"104,587","6,682,548",64.0,20191004,63.8,64.0,0.0,0.1,2881B,富邦金乙特,63.9
34,17,"13,386","855,223",63.9,20191003,63.9,63.9,0.0,0.0,2881B,富邦金乙特,63.9
35,26,"38,570","2,464,561",63.9,20191002,63.9,63.9,0.0,0.0,2881B,富邦金乙特,63.9
36,22,"20,587","1,314,331",63.9,20191001,63.8,63.9,0.0,0.0,2881B,富邦金乙特,63.8
37,37,"46,334","2,956,406",63.9,20190927,63.7,63.9,0.0,0.1,2881B,富邦金乙特,63.8
38,14,"30,200","1,924,138",63.8,20190926,63.7,63.8,0.0,0.0,2881B,富邦金乙特,63.7
39,81,"137,400","8,765,976",63.8,20190925,63.7,63.9,0.0,0.0,2881B,富邦金乙特,63.8
40,13,"12,048","767,343",63.8,20190924,63.6,63.8,0.0,0.0,2881B,富邦金乙特,63.7
41,27,"77,451","4,935,636",63.8,20190923,63.7,63.8,0.0,0.0,2881B,富邦金乙特,63.8
42,29,"68,829","4,391,984",63.8,20190920,63.8,63.9,0.0,0.1,2881B,富邦金乙特,63.8
43,63,"59,491","3,797,257",63.9,20190919,63.7,63.9,0.0,0.0,2881B,富邦金乙特,63.7
44,47,"75,051","4,789,336",63.9,20190918,63.8,63.9,0.0,0.1,2881B,富邦金乙特,63.8
45,59,"180,302","11,485,235",63.8,20190917,63.6,63.8,0.0,0.1,2881B,富邦金乙特,63.6
46,20,"33,050","2,102,369",63.7,20190916,63.6,63.7,0.0,0.1,2881B,富邦金乙特,63.6
47,28,"54,041","3,437,606",63.6,20190912,63.6,63.7,0.0,0.1,2881B,富邦金乙特,63.7
48,125,"130,756","8,315,377",63.7,20190911,63.5,63.7,0.0,0.1,2881B,富邦金乙特,63.6
49,62,"127,805","8,119,450",63.6,20190910,63.5,63.6,0.0,0.0,2881B,富邦金乙特,63.5
50,30,"101,597","6,451,708",63.6,20190909,63.3,63.6,0.0,0.1,2881B,富邦金乙特,63.5
51,21,"42,022","2,665,191",63.5,20190906,63.4,63.6,0.0,0.0,2881B,富邦金乙特,63.6
52,38,"66,343","4,208,542",63.5,20190905,63.4,63.5,0.0,0.1,2881B,富邦金乙特,63.4
53,25,"58,208","3,697,904",63.6,20190904,63.5,63.6,0.0,0.0,2881B,富邦金乙特,63.6
54,91,"188,197","11,956,188",63.6,20190903,63.5,63.6,0.0,0.1,2881B,富邦金乙特,63.5
55,32,"62,200","3,944,879",63.5,20190902,63.4,63.5,0.0,0.0,2881B,富邦金乙特,63.5
56,27,"91,911","5,833,746",63.5,20190830,63.4,63.5,0.0,0.0,2881B,富邦金乙特,63.4
57,32,"96,395","6,111,979",63.5,20190829,63.4,63.5,0.0,0.0,2881B,富邦金乙特,63.4
58,102,"183,600","11,640,180",63.5,20190828,63.3,63.5,0.0,0.1,2881B,富邦金乙特,63.4
59,28,"59,000","3,741,100",63.4,20190827,63.4,63.5,0.0,0.0,2881B,富邦金乙特,63.4
60,34,"61,553","3,892,802",63.4,20190826,63.2,63.4,0.0,0.0,2881B,富邦金乙特,63.3
61,47,"150,365","9,515,899",63.4,20190823,63.2,63.4,0.0,0.1,2881B,富邦金乙特,63.3
62,40,"157,444","9,950,157",63.3,20190822,63.1,63.3,0.0,0.1,2881B,富邦金乙特,63.1
63,103,"241,295","15,223,111",63.2,20190821,63.0,63.2,0.0,0.0,2881B,富邦金乙特,63.0
64,171,"584,217","37,589,388",64.4,20190820,64.1,64.6,0.0,0.2,2881B,富邦金乙特,64.2
