,date,highPrice,lowPrice,numberOfTransactions,price,value
0,20191112,43.35,43.05,107,43.30,"195,001"
1,20191111,43.15,42.8,173,42.9,"292,064"
2,20191108,42.4,42.0,46,42.4,"66,971"
3,20191107,42.15,41.95,20,42.1,"48,001"
4,20191106,42.45,41.9,30,41.95,"106,070"
5,20191105,42.1,41.95,34,42.0,"41,201"
6,20191104,42.3,41.9,39,42.0,"56,101"
7,20191101,42.1,41.9,42,41.95,"110,000"
8,20191031,42.6,42.05,42,42.1,"78,308"
9,20191030,42.7,42.0,19,42.6,"46,101"
10,20191029,42.25,42.0,26,42.0,"31,165"
11,20191028,42.95,42.2,47,42.2,"114,251"
12,20191025,42.4,42.1,9,42.2,"15,000"
13,20191024,42.5,42.1,9,42.1,"10,000"
14,20191023,42.5,42.0,37,42.0,"47,065"
15,20191022,42.5,42.3,25,42.3,"26,202"
16,20191021,42.45,42.4,5,42.45,"4,001"
17,20191018,43.05,42.25,23,42.4,"44,002"
18,20191017,42.5,42.25,14,42.25,"9,150"
19,20191016,43.2,42.6,51,42.6,"56,030"
20,20191015,43.3,41.65,95,43.3,"125,001"
21,20191014,41.85,41.5,46,41.6,"65,639"
22,20191009,42.0,41.5,44,41.5,"99,000"
23,20191008,41.85,41.55,32,41.55,"52,000"
24,20191007,42.0,41.8,29,41.85,"100,000"
25,20191004,42.2,41.85,16,41.9,"22,000"
26,20191003,42.0,41.8,31,41.85,"55,000"
27,20191002,42.35,41.9,15,42.0,"34,000"
28,20190927,42.4,41.85,51,41.9,"67,001"
29,20190926,42.45,42.4,3,42.4,"2,001"
30,20190925,42.8,42.4,17,42.45,"19,001"
31,20190924,42.9,42.8,19,42.8,"36,000"
32,20190923,43.2,42.85,17,42.9,"20,114"
33,20190920,43.3,43.1,13,43.1,"45,100"
34,20190919,43.2,43.0,15,43.2,"22,002"
35,20190918,43.25,42.25,79,43.2,"126,001"
36,20190917,42.85,42.25,27,42.3,"49,003"
37,20190916,43.0,42.65,45,42.7,"75,001"
38,20190912,43.0,42.25,23,42.9,"133,000"
39,20190911,42.4,42.25,27,42.35,"40,001"
40,20190910,42.7,42.2,45,42.35,"71,002"
41,20190909,42.9,42.7,38,42.8,"70,236"
42,20190906,43.0,42.8,30,42.8,"43,493"
43,20190905,43.2,42.85,34,42.85,"37,035"
44,20190904,43.2,42.8,23,43.1,"40,000"
45,20190903,43.25,42.8,28,42.95,"44,003"
46,20190902,43.3,43.1,30,43.2,"27,200"
47,20190830,43.5,42.6,106,43.25,"161,101"
48,20190829,42.6,42.05,19,42.6,"28,000"
49,20190828,42.45,42.0,37,42.05,"64,007"
50,20190827,42.3,41.9,21,42.15,"47,050"
51,20190826,42.05,41.7,41,41.8,"37,005"
52,20190823,42.8,42.5,26,42.55,"70,201"
53,20190822,42.8,42.35,32,42.35,"65,000"
54,20190821,42.5,42.0,46,42.4,"54,000"
55,20190820,41.95,41.6,33,41.8,"45,000"
56,20190819,41.65,41.5,69,41.6,"96,330"
57,20190816,41.75,41.15,77,41.6,"84,201"
58,20190815,42.05,41.7,76,41.7,"102,100"
59,20190814,42.8,42.4,38,42.4,"45,042"
60,20190813,43.1,42.15,52,42.4,"102,301"
61,20190812,42.5,42.15,66,42.3,"90,000"
62,20190808,43.0,42.7,14,42.9,"13,002"
63,20190807,43.05,42.7,28,42.7,"33,002"
64,20190806,43.0,42.0,46,43.0,"83,002"
65,20190805,43.55,43.0,55,43.0,"88,251"
